title,genres,product rating,user score,user ratings count,platform,metascore,metascore_count,img,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release date,last_update
NBA Live 2005,Basketball Sim,Rated E For Everyone,,,PS2,84,21,/games/boxart/full_3791972AmericaFrontccc.jpg,EA Sports,EA Canada,,2.59,2.03,,0.21,0.35,2004-09-28,
NBA Live 2005,Basketball Sim,Rated E For Everyone,,,PC,79,9,/games/boxart/full_1299351AmericaFrontccc.jpg,EA Sports,EA Canada,,,,,,,2004-10-26,
I Am Alive,Survival,Rated M For Mature,6.3,172.0,PS3,75,15,/games/boxart/default.jpg,Unknown,Ubisoft Shanghai,,,,,,,3/7/2012,
I Am Alive,Survival,Rated M For Mature,6.3,172.0,X360,69,68,/games/boxart/full_4623392AmericaFrontccc.png,Unknown,Ubisoft Shanghai,,,,,,,3/7/2012,
I Am Alive,Survival,Rated M For Mature,6.3,172.0,PC,66,10,/games/boxart/full_2128896AmericaFrontccc.jpg,Unknown,Ubisoft Shanghai,,,,,,,3/7/2012,
Might & Magic: Clash of Heroes,Turn-Based Tactics,Rated E +10 For Everyone +10,6.6,47.0,DS,86,39,/games/boxart/full_might-ampamp-magic-clash-of-heroes_3AmericaFront.jpg,Ubisoft,Capybara Games,8.6,0.18,0.15,,0.02,0.01,2009-12-01,
Might & Magic: Clash of Heroes,Turn-Based Tactics,Rated E +10 For Everyone +10,6.6,47.0,PC,76,6,/games/boxart/full_might-ampamp-magic-clash-of-heroes_129AmericaFront.jpg,Ubisoft,Capybara Games,,,,,,,2011-09-22,
Knock-knock,Adventure,,8.3,213.0,PC,57,16,/games/boxart/default.jpg,Unknown,Unknown,,,,,,,10/4/2013,
Earth Defense Force: Insect Armageddon,Third Person Shooter,Rated T For Teen,8.0,48.0,PS3,63,28,/games/boxart/full_earth-defense-force-insect-armageddon_665AmericaFront.jpg,D3 Publisher,Vicious Cycle,6.6,0.2,0.06,0.08,0.04,0.02,2011-07-05,
Earth Defense Force: Insect Armageddon,Third Person Shooter,Rated T For Teen,8.0,48.0,X360,68,40,/games/boxart/full_earth-defense-force-insect-armageddon_265AmericaFront.jpg,D3 Publisher,Vicious Cycle,6.7,0.19,0.1,0.03,0.04,0.01,2011-07-05,
Army of Two: The 40th Day,Third Person Shooter,Rated M For Mature,6.9,94.0,PS3,74,56,/games/boxart/full_4015554AmericaFrontccc.jpg,Electronic Arts,EA Montreal,7.1,0.85,0.44,0.01,0.27,0.13,2010-01-12,
Army of Two: The 40th Day,Third Person Shooter,Rated M For Mature,6.9,94.0,X360,73,79,/games/boxart/full_6990388AmericaFrontccc.jpg,Electronic Arts,EA Montreal,7.1,0.99,0.65,0.0,0.24,0.09,2010-01-12,
Army of Two: The 40th Day,Third Person Shooter,Rated M For Mature,6.9,94.0,PSP,49,11,/games/boxart/full_7244946AmericaFrontccc.jpg,Electronic Arts,Buzz Monkey Software,4.8,0.32,0.12,,0.13,0.08,2010-01-12,
Path of Exile,Action RPG,,7.9,2263.0,PC,86,27,/games/boxart/full_8624115AmericaFrontccc.jpg,Grinding Gear Games,Grinding Gear Games,,,,,,,2013-10-23,2018-01-03
Path of Exile,Action RPG,,7.9,2263.0,PS4,tbd,1,/games/boxart/full_7975499AmericaFrontccc.jpg,Grinding Gear Games,Grinding Gear Games,,,,,,,2019-03-26,2018-11-06
The Void,Survival,,8.2,89.0,PC,77,12,/games/boxart/full_7857979AmericaFrontccc.jpg,Mamba Games,Ice-pick Lodge,,0.03,,,0.03,0.01,2009-09-25,
The Void,Survival,,8.2,89.0,PC,77,12,/games/boxart/full_9401203AmericaFrontccc.jpg,Valve Software,Ice-pick Lodge,,,,,,,2009-12-15,2018-07-20
Travis Strikes Again: No More Heroes,3D Beat-'Em-Up,Rated M For Mature,7.8,218.0,NS,67,80,/games/boxart/full_3150877AmericaFrontccc.jpg,Grasshopper Manufacture Inc.,Grasshopper Manufacture,8.0,,,,,,2019-01-18,2019-03-24
Travis Strikes Again: No More Heroes,3D Beat-'Em-Up,Rated M For Mature,7.8,218.0,PS4,63,11,/games/boxart/full_3087687AmericaFrontccc.jpg,Marvelous,Grasshopper Manufacture,,,,,,,2019-10-17,2019-08-06
Travis Strikes Again: No More Heroes,3D Beat-'Em-Up,Rated M For Mature,7.8,218.0,PC,tbd,1,/games/boxart/full_2062300AmericaFrontccc.jpg,Marvelous,Grasshopper Manufacture,,,,,,,2019-10-17,2019-08-06
Heavy Metal: F.A.K.K. 2,Third Person Shooter,Rated M For Mature,7.7,34.0,PC,78,27,/games/boxart/full_heavy-metal-fakk-2_897AmericaFront.jpg,Gathering of Developers,Ritual Entertainment,,,,,,,2000-08-06,
Phantasy Star Online,RPG,Rated T For Teen,8.2,44.0,DC,89,21,/games/boxart/full_3124621AmericaFrontccc.jpg,Sega,Sonic Team,8.9,0.2,,0.2,,,2001-01-29,
Shovel Knight: Specter of Torment,2D Platformer,Rated E For Everyone,8.1,139.0,NS,84,21,/games/boxart/full_5890007AmericaFrontccc.png,Yacht Club Games,Yacht Club Games,,,,,,,2017-03-03,2018-03-25
Citizens of Space,JRPG,Rated T For Teen,6.7,6.0,PC,tbd,2,/games/boxart/full_3631822AmericaFrontccc.jpg,Unknown,Eden Industries,,,,,,,6/18/2019,2019-06-16
Citizens of Space,JRPG,Rated T For Teen,6.7,6.0,PS4,63,9,/games/boxart/full_8163656AmericaFrontccc.jpg,Unknown,Eden Industries,,,,,,,6/18/2019,2019-06-16
Citizens of Space,JRPG,Rated T For Teen,6.7,6.0,NS,tbd,2,/games/boxart/full_4507293AmericaFrontccc.jpg,Unknown,Eden Industries,,,,,,,6/18/2019,2019-06-16
Citizens of Space,JRPG,Rated T For Teen,6.7,6.0,XOne,66,4,/games/boxart/full_8773874AmericaFrontccc.jpg,Unknown,Eden Industries,,,,,,,6/18/2019,2019-06-16
D1 Professional Drift Grand Prix Series,Auto Racing Sim,Rated E +10 For Everyone +10,7.0,,PS2,45,14,/games/boxart/7885929ccc.jpg,Yuke's,Yuke's Future Media Creators,,0.03,0.01,,0.01,0.0,2006-08-15,
Tennis World Tour 2,Tennis,Rated E For Everyone,6.2,96.0,NS,55,4,/games/boxart/full_3186841PALFrontccc.jpg,Nacon,Big Ant Studios,,,,,,,2020-10-15,2020-09-28
Tennis World Tour 2,Tennis,Rated E For Everyone,6.2,96.0,PC,60,7,/games/boxart/full_6708464PALFrontccc.jpg,Nacon,Big Ant Studios,,,,,,,2020-09-24,2020-09-25
Tennis World Tour 2,Tennis,Rated E For Everyone,6.2,96.0,XOne,58,12,/games/boxart/full_4734629PALFrontccc.jpg,Nacon,Big Ant Studios,,,,,,,2020-09-24,2020-09-25
Tennis World Tour 2,Tennis,Rated E For Everyone,6.2,96.0,PS4,56,24,/games/boxart/full_9610180PALFrontccc.jpg,Nacon,Big Ant Studios,,,,,,,2020-09-24,2020-09-25
Aliens: Colonial Marines,FPS,Rated M For Mature,3.9,477.0,X360,48,47,/games/boxart/full_9613595AmericaFrontccc.jpg,Sega,Gearbox Software,,0.78,0.36,,0.35,0.07,2013-02-12,2019-01-30
